,0
GENERAL_SERVICES,703.6867854444264
ENTERTAINMENT,648.3806249569207
GENERAL_MERCHANDISE,647.2129814117743
total_spending,629.4682616542312
FOOD_AND_DRINK,619.3458046861482
BANK_FEES,600.0912082435959
TRANSPORTATION,595.452348259396
LOAN_PAYMENTS,590.968601892988
PERSONAL_CARE,587.313438321861
TRANSFER_OUT,579.9500410406902
RENT_AND_UTILITIES,562.895045196014
MEDICAL,509.9808211640345
TRAVEL,350.06755912731245
HOME_IMPROVEMENT,318.089378601277
GOVERNMENT_AND_NON_PROFIT,307.62747383280447
total_transfer_in,98.85574261169822
outflow_inflow_ratio,79.70773797926036
total_income,72.12276886216732
income_spent_pct,63.99855823196105
OTHER,63.986310301745185
total_inflow,54.08674453838845
total_outflow,40.141878782457724
total_transactions_all_time,0.0
transaction_count_60d,0.0
unique_merchants_all_time,0.0
unique_categories_all_time,0.0
transaction_count_90d,0.0
unique_categories_90d,0.0
unique_merchants_90d,0.0
unique_categories_60d,0.0
unique_detailed_categories,0.0
unique_merchants_60d,0.0
transaction_count_30d,0.0
unique_categories_30d,0.0
unique_merchants_30d,0.0
days_since_last_transaction,0.0
transaction_frequency_all_time,0.0
time_span_days,0.0
recurring_merchants_count,0.0
merchant_concentration,0.0
